STCOFIPS,AVLN_AFREQ,CFLD_AFREQ,CWAV_AFREQ,DRGT_AFREQ,ERQK_AFREQ,HAIL_AFREQ,HWAV_AFREQ,HRCN_AFREQ,ISTM_AFREQ,LNDS_AFREQ,LTNG_AFREQ,RFLD_AFREQ,SWND_AFREQ,TRND_AFREQ,TSUN_AFREQ,VLCN_AFREQ,WFIR_AFREQ,WNTW_AFREQ,AVLN_RISKR,CFLD_RISKR,CWAV_RISKR,DRGT_RISKR,ERQK_RISKR,HAIL_RISKR,HWAV_RISKR,HRCN_RISKR,ISTM_RISKR,LNDS_RISKR,LTNG_RISKR,RFLD_RISKR,SWND_RISKR,TRND_RISKR,TSUN_RISKR,VLCN_RISKR,WFIR_RISKR,WNTW_RISKR,AVLN_AFREQ_missing,ST,STATE,ST_ABBR,STCNTY,COUNTY,LOCATION,AREA_SQMI,E_TOTPOP,EP_POV150,EP_UNEMP,EP_HBURD,EP_NOHSDP,EP_UNINSUR,EP_AGE65,EP_AGE17,EP_DISABL,EP_SNGPNT,EP_LIMENG,EP_MINRTY,EP_MUNIT,EP_MOBILE,EP_CROWD,EP_NOVEH,EP_GROUPQ,EP_NOINT,EP_AFAM,EP_HISP,EP_ASIAN,EP_AIAN,EP_NHPI,EP_TWOMORE,EP_OTHERRACE
01001,NA,NA,0,25.96977431793574,4.31448442327e-4,2.806764148582806,0.371517027863777,0.080450364101552,0.402025018973763,0.01,78.9380515918745,1.083333333333333,1.297309811823116,0.480184123389991,NA,NA,3.474777467e-5,0.433436532507739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,01,Alabama,AL,01001,Autauga County,"Autauga County, Alabama",594.454786355022,58761,20.2,2.8,19.7,9.6,7.4,15.6,23.4,16.4,5.6,0.4,27.4,3.9,15.6,1.4,4,0.9,10.9,19.6,3.2,1.1,0.1,0,3.3,0.2
01003,NA,3.684141915594878,0,12.353442443899851,3.37735595273e-4,1.529255708420378,0.939761471298025,0.248233295865901,0.191995559614628,0.010560307797072,142.23187541788187,2.708333333333333,1.839032434863535,0.95313993052026,NA,NA,0.002228838373062,0.182758511948595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,01,Alabama,AL,01003,Baldwin County,"Baldwin County, Alabama",1589.861816637086,233420,18.3,3.4,23.2,8.4,9.3,21.2,21.2,13.9,4.2,0.8,17.7,16.6,10.2,1.9,2.3,1.5,10.9,8.3,4.8,0.9,0.2,0,3.1,0.4
01005,NA,NA,0,43.9569529227585,2.27048426935e-4,1.908785007709048,0.371517027863777,0.116398340310341,0.393288465748223,0.01,74.65509191026041,0.25,1.456484835267519,0.739018402814856,NA,NA,3.8252089048e-5,0.185758513931889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,01,Alabama,AL,01005,Barbour County,"Barbour County, Alabama",885.007618621402,24877,37.7,5.8,25.1,23.5,10.7,19.8,20.7,18.1,11.3,2,55.4,1.4,29.2,3.8,11.7,12,31.8,46.9,4.8,0.5,0.3,0,1.8,1.2
01007,NA,NA,0,28.89450124044227,7.90238388689e-4,3.447867669226194,0.371517027863778,0.066723939113385,0.413093785697131,0.01,84.58902944389332,0.666666666666667,1.457584970525106,0.586159594228586,NA,NA,4.0018023403e-5,0.743034055727554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,01,Alabama,AL,01007,Bibb County,"Bibb County, Alabama",622.469286466726,22251,29,8.7,23.2,21.1,8.4,16.8,21.2,19.6,7.2,0.3,25.8,2.7,30.6,1.3,7.5,6.4,20.2,20.7,2.9,0.3,0.1,0,1.7,0.1
01009,NA,NA,0,28.1525976204459,8.16915976898e-4,5.101344031154278,0.371517027863777,0.039238212284882,0.50966519498561,0.01,88.7776532703633,1.166666666666667,4.28676331296177,0.710331710557074,NA,NA,3.5074085197e-5,0.86687306501548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,01,Alabama,AL,01009,Blount County,"Blount County, Alabama",644.890376325486,59077,22.9,6,19.4,18.2,10.2,18.3,23,17,5.3,2.2,14.3,0.9,23.9,2.3,4.8,1,16.9,1.2,9.7,0.2,0.1,0.2,2.8,0.1
01011,NA,NA,0,42.70886464281379,4.02969066617e-4,2.344829587278913,0.371517027863777,0.123757622199751,0.493817261739519,0.01,72.06221941904893,0.333333333333333,1.514519428563239,0.557943494664403,NA,NA,7.3634561394e-5,0.247678018575852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,01,Alabama,AL,01011,Bullock County,"Bullock County, Alabama",622.814753161736,10328,47.4,3.7,23.3,26.6,12.2,16.6,21.1,11.2,16.3,1.8,79.4,4.1,42.4,0.8,10.4,7.1,38.4,68.9,8.8,0.4,0,0,1.3,0
01013,NA,NA,0,20.661560722575707,3.70852972472e-4,1.744002919201182,0.495356037151703,0.124739961407022,0.229932519272057,0.01,85.68409641530718,0.5,1.68229820921015,0.579694456731988,NA,NA,3.3767592262e-5,0.185758513931889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,01,Alabama,AL,01013,Butler County,"Butler County, Alabama",776.838207787896,18981,33.8,6.8,22.5,12.4,11,21.2,22.3,16.2,7.2,0.1,49.1,0.8,21.5,0.6,5,1.8,21.4,44.6,1.7,1.3,0.4,0,1.2,0
01015,NA,NA,0,29.342027994481526,7.40531371529e-4,5.168433559626235,0.309597523219814,0.040664205625402,0.280710705502845,0.010562597253346,88.21157602060575,1,2.784027000631248,0.497337900192799,NA,NA,3.4484935445e-5,1.052631578947368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,01,Alabama,AL,01015,Calhoun County,"Calhoun County, Alabama",605.889936470352,116162,28.7,6.9,23,14.9,10.8,17.9,21.2,20.2,6.9,0.5,29.5,3.7,14.6,1.7,5.6,3.2,16.6,21.7,4.1,0.6,0.1,0.2,2.5,0.4
01017,NA,NA,0,57.93558022532257,4.47361262962e-4,3.823913074806812,0.371517027863777,0.088928855346052,0.515826674282454,0.01,61.693305344001885,0.75,1.182361437382956,0.436672652794168,NA,NA,1.35346438668e-4,0.557275541795666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,01,Alabama,AL,01017,Chambers County,"Chambers County, Alabama",596.55406501414,34612,28.8,3.6,23.1,16.5,10.8,19.7,20.8,20.8,5.6,0.3,45.7,7.2,13.6,5.3,7,1.8,21.4,40.8,3.3,0.2,0,0,1.3,0.2
01019,NA,NA,0,30.629820333153248,0.001097698867015,5.347451887250933,0.309597523219814,0.032073144550197,0.421405615552867,0.01,77.24664094865642,0.791666666666667,2.946140794578826,0.442734834701754,NA,NA,3.0598175924e-5,0.928792569659443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,01,Alabama,AL,01019,Cherokee County,"Cherokee County, Alabama",553.5238774267,25069,25.6,4,19.9,18.1,10.2,23.2,18.9,20.3,4.6,0.9,9.3,1.2,26.9,0.7,3.2,1.2,21.8,4,1.9,0.1,0.5,0,2.8,0.1
